id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
nygxxx99,New York Giants,NYG,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,682.6,0.2,193.8,,,,,,,,,15.6,8.8,8.8,346.0,35.3,0.4,2.0,5226.0,13.76
clexxx99,Cleveland Browns,CLE,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,690.7,0.2,201.5,,,,,,,,,12.9,7.1,10.2,340.0,31.8,0.4,2.6,4941.0,13.73
minxxx99,Minnesota Vikings,MIN,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,653.7,0.2,201.8,,,,,,,,,14.1,7.1,11.5,378.0,33.5,0.4,1.8,5669.0,13.69
cltxxx99,Indianapolis Colts,IND,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.3,844.6,0.3,227.8,,,,,,,,,17.3,9.3,9.7,360.0,33.5,0.4,1.4,5118.0,13.59
wasxxx99,Washington Commanders,WAS,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,734.8,0.3,244.6,,,,,,,,,13.9,7.5,8.4,357.0,33.1,0.4,2.5,5007.0,13.59
StafMa00,Matthew Stafford,LAR,qb,@ 10:10 PM EDT,35,15.0,,439.6,291.8,160.9,10.5,20.7,19.5,3348.0,7.6,,,34.0,4.8,1.2,88.7,,,,,,,,,,,,,,,,,,,,,,,,,13.57
HiggTe00,Tee Higgins,CIN,wr,@ 10:10 PM EDT,24,14.7,,,,,,,,,,,,,,,,45.3,68.5,6.4,959.3,,,,,,,,,,,,,,,,,,,,,13.83
carxxx99,Carolina Panthers,CAR,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,624.8,0.2,197.9,,,,,,,,,16.2,7.1,9.7,349.0,32.7,0.4,1.9,5113.0,13.44
crdxxx99,Arizona Cardinals,ARI,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,611.6,0.3,226.5,,,,,,,,,14.1,7.5,9.7,397.0,30.0,0.4,2.0,5365.0,13.35
atlxxx99,Atlanta Falcons,ATL,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,699.3,0.2,166.5,,,,,,,,,13.7,7.5,10.2,342.0,26.5,0.4,2.3,5195.0,13.31
tamxxx99,Tampa Bay Buccaneers,TB,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,554.3,0.2,202.9,,,,,,,,,14.8,8.4,8.4,341.0,34.0,0.4,1.3,5038.0,13.29
AiyuBr00,Brandon Aiyuk,SF,wr,@ 10:10 PM EDT,25,14.7,,,,,,,,,,,,5.5,1.7,0.4,33.7,42.6,64.9,6.5,891.0,,,,,,,,,,,,,,,,,,,,,13.52
JoneAa00,Aaron Jones,GB,rb,@ 10:10 PM EDT,28,14.0,,,,,,,,,,,,159.1,35.1,3.9,779.7,21.2,43.9,2.9,345.0,,,,,,,,,,,,,,,,,,,,,13.97
StroCJ00,C.J. Stroud,HOU,qb,@ 10:10 PM EDT,22,13.7,,483.0,306.0,171.8,15.8,22.0,16.7,3241.0,6.7,,,55.4,10.5,2.1,207.3,,,,,,,,,,,,,,,,,,,,,,,,,14.25
YounBr01,Bryce Young,CAR,qb,@ 10:10 PM EDT,22,15.0,,467.9,286.2,165.1,14.7,18.0,17.1,3036.0,6.5,,,53.2,12.0,2.1,247.7,,,,,,,,,,,,,,,,,,,,,,,,,12.96
ramxxx99,Los Angeles Rams,LAR,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,655.9,0.2,175.4,,,,,,,,,11.1,5.7,11.5,374.0,28.2,0.4,1.2,5409.0,12.91
HopkDe00,DeAndre Hopkins,TEN,wr,@ 10:10 PM EDT,31,14.7,,,,,,,,,,,,,,,,44.7,77.5,4.9,862.0,,,,,,,,,,,,,,,,,,,,,13.15
HoweSa00,Sam Howell,WAS,qb,@ 10:10 PM EDT,23,14.7,,407.9,257.7,146.1,12.5,20.7,16.3,2858.0,7.0,,,53.2,12.2,2.9,231.3,,,,,,,,,,,,,,,,,,,,,,,,,13.06
EtieTr00,Travis Etienne Jr.,JAX,rb,@ 10:10 PM EDT,24,14.3,,,,,,,,,,,,189.3,41.7,4.8,919.3,17.2,35.5,1.1,300.3,,,,,,,,,,,,,,,,,,,,,13.35
chixxx99,Chicago Bears,CHI,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.3,735.1,0.2,191.5,,,,,,,,,13.9,7.1,11.0,374.0,23.8,0.4,1.2,5431.0,12.74
raixxx99,Las Vegas Raiders,LV,td,@ 10:10 PM EDT,,15.0,,,,,,,,,,,,,,,,,,,,0.2,644.7,0.3,234.8,,,,,,,,,13.2,7.1,6.2,394.0,28.7,0.4,1.9,5453.0,12.71
WilsZa00,Zach Wilson,NYJ,qb,@ 10:10 PM EDT,24,15.0,,410.6,261.9,148.3,12.4,22.7,17.9,2909.3,7.1,,,43.5,8.6,2.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,12.56
GaroJi01,Jimmy Garoppolo,LV,qb,@ 10:10 PM EDT,31,15.0,,390.6,265.9,145.1,8.8,16.0,19.3,2928.3,7.5,,,42.9,3.8,1.3,61.0,,,,,,,,,,,,,,,,,,,,,,,,,12.55
HockTJ00,T.J. Hockenson,MIN,te,@ 10:10 PM EDT,26,14.7,,,,,,,,,,,,,,,,41.7,78.8,5.7,729.3,,,,,,,,,,,,,,,,,,,,,12.67
