id,name,team,pos,matchup,age,ssn-gms,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,pass-y/att,rush-2pt,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-1d,rec-rec,rec-td,rec-yds,kr-td,kr-yds,pr-td,pr-yds,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,ppg
cltxxx99,Indianapolis Colts,IND,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,848.9,0.3,223.0,,,,,,,,,17.4,9.5,13.4,397.0,36.5,0.5,2.3,5878.0,14.91
wasxxx99,Washington Commanders,WAS,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,729.4,0.3,242.3,,,,,,,,,15.9,8.8,11.1,406.5,38.3,0.5,3.0,5795.0,14.9
KuppCo00,Cooper Kupp,LAR,wr,@ 10:34 PM EDT,30,13.0,,,,,,,,,,,,5.9,1.4,0.0,35.2,56.9,93.1,7.3,1131.2,,,,,,,,,,,,,,,,,,,,,19.48
minxxx99,Minnesota Vikings,MIN,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,803.7,0.2,182.2,,,,,,,,,15.2,8.0,13.2,429.0,39.5,0.5,2.4,6466.0,14.89
tamxxx99,Tampa Bay Buccaneers,TB,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,584.2,0.3,211.4,,,,,,,,,15.9,8.9,12.0,384.5,39.3,0.6,2.2,5812.5,14.78
denxxx99,Denver Broncos,DEN,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,538.8,0.3,219.1,,,,,,,,,14.7,8.4,14.2,359.0,34.5,0.6,2.4,5634.5,14.75
otixxx99,Tennessee Titans,TEN,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.3,701.0,0.3,209.4,,,,,,,,,13.8,7.2,13.2,384.5,37.0,0.5,2.4,6034.5,14.66
OlavCh00,Chris Olave,NO,wr,@ 10:34 PM EDT,23,16.3,,,,,,,,,,,,0.8,0.2,0.0,5.2,57.8,87.0,6.4,1235.2,,,,,,,,,,,,,,,,,,,,,15.31
carxxx99,Carolina Panthers,CAR,td,@ 10:34 PM EDT,,17.0,,,,,,,,,,,,,,,,,,,,0.2,653.6,0.3,202.6,,,,,,,,,16.9,8.3,11.1,398.0,37.5,0.5,2.6,5686.0,14.63
CarrDe02,Derek Carr,NO,qb,@ 10:34 PM EDT,32,16.3,,545.2,358.0,199.5,14.2,20.8,25.5,4109.4,7.5,,,30.8,4.5,0.6,98.2,,,,,,,,,,,,,,,,,,,,,,,,,15.19
